movie_title,film_director,industry,available_langs,run_time_min,imdb_user_rating,worldwide_release,platform_post_date,days_to_piracy,avg_views_per_download,avg_downloads_per_day,downloads,total_views
Somebody I Used to Know,Dave Franco,Hollywood / English,"English,Hindi",106,5.7,2023-02-10,2023-02-13,3,6.293003682272488,633.6666666666666,1901,11963
The Son,Florian Zeller,Hollywood / English,English,123,6.1,2023-02-17,2023-01-23,-25,15.476190476190476,19.32,483,7475
Magic Mike's Last Dance,Steven Soderbergh,Hollywood / English,English,112,5.9,2023-02-10,2023-02-13,3,6.8979591836734695,522.6666666666666,1568,10816
Among the Beasts,Matthew Newton,Hollywood / English,English,93,8.2,2023-02-10,2023-02-13,3,13.228791773778921,129.66666666666666,389,5146
Consecration,Christopher Smith,Hollywood / English,English,90,5.8,2023-02-10,2023-02-13,3,13.56640625,85.33333333333333,256,3473
Who Invited Charlie?,Xavier Manrique,Hollywood / English,English,101,8.8,2023-02-03,2023-02-13,10,22.36,7.5,75,1677
She Came from the Woods,Erik Bloomquist,Hollywood / English,English,101,5.3,2023-02-10,2023-02-13,3,13.993957703927492,110.33333333333333,331,4632
Kuruthi Aattam,Sri Ganesh,Tollywood,Hindi,147,4.0,2022-08-05,2023-02-13,192,3.2551635111876074,36.3125,6972,22695
Vedha,Harsha,Tollywood,English,156,6.9,2022-12-23,2022-12-31,8,3.753242853711266,2081.5,16652,62499
WWE Smackdown 2023-02-10,Not Assigned,Wrestling,English,100,5.8,2023-02-10,2023-02-13,3,2.659180235822572,593.6666666666666,1781,4736
Dear David,Lucky Kuswandi,Hollywood / English,English,118,6.8,2023-02-09,2023-02-10,1,8.885148514851485,2525.0,2525,22435
Baby Ruby,Bess Wohl,Hollywood / English,English,93,5.0,2023-02-03,2023-02-10,7,14.62700964630225,88.85714285714286,622,9098
Attachment,Gabriel Bier Gislason,Hollywood / English,"Danish,English",105,5.9,2022-06-12,2023-02-10,243,9.97106859542697,8.818930041152264,2143,21368
Condor's Nest,Phil Blattenberger,Hollywood / English,English,102,4.0,2023-01-27,2023-02-10,14,9.522691705790297,45.642857142857146,639,6085
Consent,Nadira Amrani,Hollywood / English,English,100,5.5,2023-02-07,2023-02-10,3,11.285714285714286,126.0,378,4266
Salaam Venky,Revathy,Bollywood / Indian,Hindi,137,7.3,2023-02-10,2022-12-10,-62,4.752733389402859,249.30645161290323,15457,73463
Subhagi,Anil Bhoop Sharma,Bollywood / Indian,Hindi,75,5.8,2022-09-08,2023-02-10,155,7.514930808448653,8.858064516129032,1373,10318
TNA.Impact 2023-02-09,Not Assigned,Wrestling,English,100,5.8,2023-02-09,2023-02-10,1,4.326860841423948,309.0,309,1337
Blood,Brad Anderson,Hollywood / English,English,108,5.4,2023-01-12,2023-02-08,27,7.956572090330052,63.96296296296296,1727,13741
The Locksmith,Nicolas Harvard,Hollywood / English,English,92,4.7,2023-02-03,2023-02-08,5,8.079019073569482,146.8,734,5930
My Husband the Narcissist (Secrets In The Marriage),Nigel Thomas,Hollywood / English,English,100,5.5,2023-02-03,2023-02-08,5,9.145176695319961,209.4,1047,9575
